celltype_manual,total_cells,APAP,Control,direction,p_value,myeloid_relevant
Activated neutrophil,596,0.009852865327464962,0.004045323359648702,Up in APAP,0.1904,TRUE
B cell,16774,0.16875623256294248,0.17102021353446148,Down in APAP,1,FALSE
B cell / possible doublet,434,0.0027927521191886038,0.0054452901990567695,Down in APAP,0.6625,FALSE
Cholangiocyte / epithelial,5517,0.07509787991396363,0.062342964208177226,Up in APAP,1,FALSE
Cycling cell,1884,0.03505696511158563,0.021940007198461266,Up in APAP,0.3827,FALSE
Cytotoxic T / NK-like,2625,0.03436195328779174,0.03240544375565951,Up in APAP,0.6625,FALSE
Endothelial,5175,0.0376603748686208,0.0713685613630257,Down in APAP,0.6625,FALSE
Fibroblast / stellate,297,0.005701233767999382,0.0032690460444995107,Up in APAP,1,FALSE
Hepatocyte contamination,5215,0.024288692030337393,0.08185447061118571,Down in APAP,0.3827,FALSE
Inflammatory neutrophil,7608,0.09786328575732477,0.04151767660312897,Up in APAP,0.3827,TRUE
Kupffer cell,1501,0.022398564019371948,0.016673145861786677,Up in APAP,1,TRUE
Low-quality / mixed,4831,0.041050234790764355,0.05425701723122191,Down in APAP,0.6625,FALSE
Mast / basophil-like,280,0.005723596342630788,0.0034362603512700777,Up in APAP,0.3827,FALSE
Mesothelial,2715,0.03207150428184478,0.03007176773195082,Up in APAP,1,FALSE
Monocyte-derived macrophage / DC-like,3266,0.06166518864660149,0.03510019600323058,Up in APAP,0.6625,TRUE
NK cell,5269,0.05938674676136907,0.052500638817492035,Up in APAP,0.6625,FALSE
Neutrophil,585,0.012187003324108705,0.0038557656266927027,Up in APAP,0.0809,TRUE
Plasma cell,946,0.012816409078139386,0.01721829833892534,Down in APAP,0.3827,FALSE
T cell,18298,0.19117211697546613,0.24336237605753194,Down in APAP,0.6625,FALSE
VSMC / pericyte,525,0.00615952220797424,0.009268187913668962,Down in APAP,1,FALSE
cDC1,1282,0.024421846511007362,0.013446042052820094,Up in APAP,0.3827,FALSE
pDC-like,2437,0.03951503231350237,0.025601307136104007,Up in APAP,0.6625,FALSE
