cluster,preliminary_label,T cell,B cell,NK cell,Neutrophil,Endothelial,Kupffer cell,Monocyte-derived Mph/DC,Cholangiocyte / Epithelial,Hepatocyte,Fibroblast / Stellate,Mesothelial,Plasma cell,pDC,cDC1,Cycling,Mast / Basophil,VSMC / Pericyte
0,T cell,5.806,0.296,2.245,1.102,0.135,0.085,0.167,0.191,2.125,0.061,0.067,1.209,0.179,0.029,0.095,0.02,0.016
1,B cell,0.395,14.573,0.298,1.297,0.218,0.097,0.218,0.217,2.271,0.074,0.083,2.024,0.114,0.045,0.096,0.014,0.024
10,NK cell,5.599,0.303,6.923,1.032,0.101,0.079,0.221,0.161,1.947,0.053,0.053,1.127,0.121,0.173,0.198,0.01,0.015
11,pDC,0.91,0.699,0.445,1.173,0.303,0.107,0.585,0.177,2.121,0.051,0.077,2.615,18.504,0.75,0.079,0.018,0.019
12,Cycling,3.365,0.929,5.39,1.696,0.115,0.089,0.891,0.143,2.103,0.06,0.072,1.634,0.539,0.208,6.688,0.255,0.011
13,B cell,3.044,6.668,3.971,0.932,0.131,0.059,0.144,0.153,1.577,0.046,0.055,1.344,0.127,0.084,0.09,0.014,0.01
14,Kupffer cell,0.444,0.723,0.486,2.026,0.811,25.17,6.225,0.253,3.214,0.109,0.097,1.655,0.17,0.083,0.157,0.018,0.032
15,cDC1,0.275,0.271,0.231,1.002,0.065,0.07,1.44,0.113,1.449,0.035,0.039,1.176,0.839,2.327,1.472,0.136,0.017
16,Plasma cell,0.503,1.551,0.499,1.319,0.086,0.085,0.229,0.203,2.33,0.075,0.065,271.217,0.279,0.05,1.156,0.001,0.014
17,Neutrophil,0.353,8.059,0.27,41.375,0.129,0.072,0.801,0.142,1.415,0.056,0.069,1.673,0.087,0.087,0.076,0.019,0.018
18,Neutrophil,0.506,0.664,0.598,295.08,0.082,0.086,12.872,0.214,2.193,0.085,0.07,0.942,0.162,0.03,0.556,0.267,0.089
19,VSMC / Pericyte,0.657,1.183,0.662,2.824,0.184,0.134,0.52,0.214,2.465,1.75,0.121,1.132,0.152,0.036,0.072,0.034,26.795
2,Neutrophil,0.653,0.382,0.746,78.973,0.113,0.112,1.602,0.235,3.142,0.077,0.081,1.576,0.124,0.143,0.073,0.031,0.029
20,Hepatocyte,0.635,13.022,0.477,1.1,0.224,0.112,0.242,0.254,17.174,0.055,0.069,2.114,0.111,0.03,0.117,0.02,0.017
21,Fibroblast / Stellate,0.591,0.661,0.485,1.531,0.225,0.274,0.309,0.674,2.663,37.021,1.553,1.774,0.272,0.019,0.051,0.016,0.244
22,Mast / Basophil,0.561,0.312,1.49,2.494,0.139,0.067,1.665,0.175,1.295,0.036,0.067,0.826,0.665,0.437,0.773,5.194,0.01
23,Cholangiocyte / Epithelial,0.586,0.665,0.7,2.054,0.256,0.144,0.268,28.318,13.484,0.145,0.194,4.131,0.204,0.076,0.1,0.022,0.026
24,Hepatocyte,0.39,0.539,0.675,2.167,0.126,0.067,0.164,1.017,42.154,0.112,0.074,1.657,0.069,0.03,0.095,0.011,0.033
25,Neutrophil,0.239,0.232,0.335,42.947,8.246,0.101,1.438,0.191,2.382,0.051,0.03,1.439,0.052,0.059,0.071,0.356,0
26,Neutrophil,0.718,0.606,0.37,20.291,0.228,0.075,0.9,0.16,2.006,0.045,0.049,2.084,13.564,0.669,0.055,0,0.005
3,NK cell,2.271,0.351,16.901,1.261,0.128,0.088,0.198,0.231,2.338,0.067,0.074,1.249,0.089,0.318,0.126,0.041,0.02
4,Hepatocyte,0.443,0.462,0.5,2.122,0.169,0.124,0.28,8.95,19.356,0.098,0.078,2.122,0.141,0.042,0.202,0.014,0.029
5,Endothelial,0.419,0.492,0.424,1.537,11.127,0.145,0.237,0.276,4.5,0.112,0.086,1.834,0.155,0.057,0.084,0.51,0.026
6,Hepatocyte,1.085,1.07,1.034,1.583,0.283,0.177,0.359,0.762,126.481,0.124,0.106,3.441,0.189,0.049,0.092,0.038,0.031
7,Hepatocyte,2.14,1.852,1.993,4.968,0.424,0.346,1.411,1.188,9.396,0.27,0.235,5.453,0.476,0.214,0.505,0.073,0.07
8,Monocyte-derived Mph/DC,0.307,0.441,0.333,1.47,0.105,1.032,15.828,0.122,1.742,0.052,0.051,1.184,0.571,0.726,0.112,0.065,0.012
9,Mesothelial,0.649,0.846,0.642,2.356,0.341,0.154,0.359,1.741,4.239,6.188,9.184,2.693,0.232,0.048,0.153,0.036,0.057
