myeloid_clusters,sample_id,group,n_cells
0,AP-300,APAP,26
0,AP-300-2,APAP,1962
0,AP-300-3,APAP,1737
0,con1,Control,16
0,con2,Control,575
0,con3,Control,639
1,AP-300,APAP,201
1,AP-300-2,APAP,222
1,AP-300-3,APAP,316
1,con1,Control,57
1,con2,Control,274
1,con3,Control,350
2,AP-300,APAP,216
2,AP-300-2,APAP,321
2,AP-300-3,APAP,232
2,con1,Control,106
2,con2,Control,280
2,con3,Control,127
3,AP-300,APAP,250
3,AP-300-2,APAP,331
3,AP-300-3,APAP,248
3,con1,Control,95
3,con2,Control,200
3,con3,Control,140
4,AP-300,APAP,121
4,AP-300-2,APAP,493
4,AP-300-3,APAP,267
4,con1,Control,69
4,con2,Control,95
4,con3,Control,61
5,AP-300,APAP,55
5,AP-300-2,APAP,308
5,AP-300-3,APAP,160
5,con1,Control,39
5,con2,Control,58
5,con3,Control,27
6,AP-300,APAP,100
6,AP-300-2,APAP,210
6,AP-300-3,APAP,125
6,con1,Control,36
6,con2,Control,47
6,con3,Control,29
7,AP-300,APAP,96
7,AP-300-2,APAP,129
7,AP-300-3,APAP,82
7,con1,Control,45
7,con2,Control,101
7,con3,Control,32
8,AP-300,APAP,3
8,AP-300-2,APAP,173
8,AP-300-3,APAP,157
8,con1,Control,3
8,con2,Control,70
8,con3,Control,62
9,AP-300,APAP,6
9,AP-300-2,APAP,177
9,AP-300-3,APAP,33
9,con1,Control,1
9,con2,Control,102
9,con3,Control,131
10,AP-300,APAP,1
10,AP-300-2,APAP,163
10,AP-300-3,APAP,108
10,con1,Control,3
10,con2,Control,56
10,con3,Control,40
11,AP-300,APAP,3
11,AP-300-2,APAP,194
11,AP-300-3,APAP,11
11,con1,Control,11
11,con2,Control,29
11,con3,Control,5
12,AP-300,APAP,24
12,AP-300-2,APAP,55
12,AP-300-3,APAP,27
12,con1,Control,7
12,con2,Control,30
12,con3,Control,18
13,AP-300,APAP,14
13,AP-300-2,APAP,31
13,AP-300-3,APAP,18
13,con1,Control,4
13,con2,Control,15
13,con3,Control,6
14,AP-300,APAP,6
14,AP-300-2,APAP,10
14,AP-300-3,APAP,12
14,con1,Control,3
14,con2,Control,4
14,con3,Control,6
15,AP-300,APAP,2
15,AP-300-2,APAP,3
15,AP-300-3,APAP,4
15,con1,Control,1
15,con2,Control,6
15,con3,Control,2
