myeloid_cluster,W_stat,p_value,mean_ctrl,mean_apap,direction
0,6,0.6625,0.2366,0.3082,Up in APAP
1,2,0.3827,0.155,0.1049,Down in APAP
2,2,0.3827,0.1446,0.1083,Down in APAP
3,3,0.6625,0.126,0.1206,Down in APAP
4,6,0.6625,0.0748,0.0954,Up in APAP
5,6,0.6625,0.0415,0.0529,Up in APAP
6,7,0.3827,0.038,0.0561,Up in APAP
7,4,1,0.053900000000000003,0.0452,Down in APAP
8,5,1,0.0264,0.0277,Up in APAP
9,3,0.6625,0.0442,0.0172,Down in APAP
10,6,0.6625,0.0196,0.0218,Up in APAP
11,4,1,0.0134,0.0154,Up in APAP
12,4,1,0.0134,0.0135,Up in APAP
13,5,1,0.0065,0.008,Up in APAP
14,4,1,0.0039,0.0036,Down in APAP
15,1,0.1904,0.0021,0.0012,Down in APAP
