sample_id,group,myeloid_clusters,n_cells,proportion
AP-300,APAP,0,26,0.023131672597864767
AP-300,APAP,1,201,0.17882562277580072
AP-300,APAP,2,216,0.19217081850533807
AP-300,APAP,3,250,0.22241992882562278
AP-300,APAP,4,121,0.10765124555160142
AP-300,APAP,5,55,0.04893238434163701
AP-300,APAP,6,100,0.08896797153024912
AP-300,APAP,7,96,0.08540925266903915
AP-300,APAP,8,3,0.0026690391459074734
AP-300,APAP,9,6,0.005338078291814947
AP-300,APAP,10,1,8.896797153024911e-4
AP-300,APAP,11,3,0.0026690391459074734
AP-300,APAP,12,24,0.021352313167259787
AP-300,APAP,13,14,0.012455516014234875
AP-300,APAP,14,6,0.005338078291814947
AP-300,APAP,15,2,0.0017793594306049821
AP-300-2,APAP,0,1962,0.410288582183187
AP-300-2,APAP,1,222,0.04642409033877039
AP-300-2,APAP,2,321,0.0671267252195734
AP-300-2,APAP,3,331,0.06921790046005856
AP-300-2,APAP,4,493,0.10309493935591803
AP-300-2,APAP,5,308,0.0644081974069427
AP-300-2,APAP,6,210,0.043914680050188205
AP-300-2,APAP,7,129,0.026976160602258468
AP-300-2,APAP,8,173,0.03617733166039314
AP-300-2,APAP,9,177,0.0370138017565872
AP-300-2,APAP,10,163,0.03408615641990799
AP-300-2,APAP,11,194,0.040568799665411964
AP-300-2,APAP,12,55,0.01150146382266834
AP-300-2,APAP,13,31,0.006482643245503974
AP-300-2,APAP,14,10,0.002091175240485153
AP-300-2,APAP,15,3,6.273525721455458e-4
AP-300-3,APAP,0,1737,0.4910941475826972
AP-300-3,APAP,1,316,0.08934124964659315
AP-300-3,APAP,2,232,0.06559230986711903
AP-300-3,APAP,3,248,0.07011591744416172
AP-300-3,APAP,4,267,0.07548770144189991
AP-300-3,APAP,5,160,0.04523607577042692
AP-300-3,APAP,6,125,0.035340684195646024
AP-300-3,APAP,7,82,0.023183488832343793
AP-300-3,APAP,8,157,0.04438789934973141
AP-300-3,APAP,9,33,0.009329940627650551
AP-300-3,APAP,10,108,0.030534351145038167
AP-300-3,APAP,11,11,0.0031099802092168505
AP-300-3,APAP,12,27,0.007633587786259542
AP-300-3,APAP,13,18,0.005089058524173028
AP-300-3,APAP,14,12,0.0033927056827820186
AP-300-3,APAP,15,4,0.0011309018942606728
con1,Control,0,16,0.03225806451612903
con1,Control,1,57,0.11491935483870967
con1,Control,2,106,0.21370967741935484
con1,Control,3,95,0.19153225806451613
con1,Control,4,69,0.13911290322580644
con1,Control,5,39,0.07862903225806452
con1,Control,6,36,0.07258064516129033
con1,Control,7,45,0.0907258064516129
con1,Control,8,3,0.006048387096774193
con1,Control,9,1,0.0020161290322580645
con1,Control,10,3,0.006048387096774193
con1,Control,11,11,0.02217741935483871
con1,Control,12,7,0.014112903225806451
con1,Control,13,4,0.008064516129032258
con1,Control,14,3,0.006048387096774193
con1,Control,15,1,0.0020161290322580645
con2,Control,0,575,0.296086508753862
con2,Control,1,274,0.141091658084449
con2,Control,2,280,0.14418125643666324
con2,Control,3,200,0.10298661174047374
con2,Control,4,95,0.04891864057672503
con2,Control,5,58,0.029866117404737384
con2,Control,6,47,0.02420185375901133
con2,Control,7,101,0.052008238928939236
con2,Control,8,70,0.03604531410916581
con2,Control,9,102,0.05252317198764161
con2,Control,10,56,0.028836251287332648
con2,Control,11,29,0.014933058702368692
con2,Control,12,30,0.015447991761071062
con2,Control,13,15,0.007723995880535531
con2,Control,14,4,0.0020597322348094747
con2,Control,15,6,0.003089598352214212
con3,Control,0,639,0.38149253731343286
con3,Control,1,350,0.208955223880597
con3,Control,2,127,0.07582089552238806
con3,Control,3,140,0.08358208955223881
con3,Control,4,61,0.036417910447761194
con3,Control,5,27,0.016119402985074627
con3,Control,6,29,0.017313432835820895
con3,Control,7,32,0.0191044776119403
con3,Control,8,62,0.037014925373134326
con3,Control,9,131,0.07820895522388059
con3,Control,10,40,0.023880597014925373
con3,Control,11,5,0.0029850746268656717
con3,Control,12,18,0.010746268656716417
con3,Control,13,6,0.003582089552238806
con3,Control,14,6,0.003582089552238806
con3,Control,15,2,0.0011940298507462687
