sample_id,group,myeloid_clusters,myeloid_subtype,n_cells,Kupffer_resident_score1_mean,Monocyte_derived_Mph_score1_mean,Inflammatory_Mph_score1_mean,Injury_response_Mph_score1_mean,Neutrophil_score1_mean,Activated_neutrophil_score1_mean,Interferon_response_score1_mean,Antigen_presentation_score1_mean
AP-300,APAP,0,Inflammatory neutrophil,26,-0.4261260359367412,-0.04253013735505803,0.6382250730651472,0.22297543312344487,2.0931034979770686,0.8179104999916947,-0.23287562730654776,0.0694138380034624
AP-300,APAP,1,Resident Kupffer cell,201,2.2309986332940253,0.14259012463841847,-0.02135000682634658,1.4073291959776595,-0.19960576191930104,-0.21373053187493393,-0.00849601381619486,0.8085275064916613
AP-300,APAP,2,Antigen-presenting macrophage / Mo-Mac,216,0.21363921737508174,0.5820922458858079,0.5209312549183466,0.9386469495311951,-0.1292735820527963,0.1949408354625384,0.024906497730251338,1.9426240789639952
AP-300,APAP,3,DC-like antigen-presenting myeloid,250,-0.5649048338130144,0.20464070185721278,0.03431602976721399,0.03579317015912216,-0.20747864281854211,-0.5316943890145548,-0.19497784587142467,1.8365252186994603
AP-300,APAP,4,Inflammatory neutrophil,121,-0.5833222176136719,-0.3656656281544042,0.5359175145510237,-0.06918262071284137,1.2249279867310687,0.5106906832996615,-0.21720912145899485,0.02570990375728416
AP-300,APAP,5,Activated neutrophil,55,-0.5228578214925486,-0.4659114207854297,0.5215950121950903,0.032241501403526156,1.243166676122315,0.5582963869090652,-0.2627820844190559,1.5974240828119426
AP-300,APAP,6,Mature neutrophil,100,-0.42043586100855346,0.8644483057088289,-0.08276189735337965,0.18212674777384702,3.319985210099536,-0.1048398152925141,-0.15695008063056687,0.042147680462611636
AP-300,APAP,7,Monocyte-derived macrophage,96,-0.6036015779716234,1.4576779560281463,0.017936096356978314,0.61710287897012,-0.13960730342907846,-0.42741354340060395,-0.22438944039407216,0.3585022382952108
AP-300,APAP,8,Activated inflammatory neutrophil,3,-0.5787594721074606,-0.36324214813105643,1.2836334454597986,-0.15728342158750236,1.0373113809630286,1.5516010762243795,-0.12467468184208105,0.18798662810827782
AP-300,APAP,9,Possible doublet / hepatocyte ambient-contaminated neutrophil,6,-0.4563498997003632,0.18243074511358354,0.45374368857973346,0.5429452009801667,1.1089298507173722,0.5557658542305387,-0.23942883824287245,0.18833698934449566
AP-300,APAP,10,IFN-responsive inflammatory neutrophil,1,-0.4481921190877965,1.6067680506957478,-0.09546707275572913,0.36691073521714074,3.171559019846298,-0.04409673105256484,1.5036870289665378,0.18628262368482928
AP-300,APAP,11,Neutrophil with erythroid/ambient signal,3,-0.442233311541842,0.5864218313041365,0.16259537526727363,0.3340013741935538,1.2983868012527326,0.24958489067875259,-0.29208276329953725,0.5301962991239427
AP-300,APAP,12,Antigen-presenting myeloid with lymphoid-like signal,24,-0.18781042543544596,0.26811853524582635,0.08754478228511947,0.3143524935060666,-0.2880869275468389,-0.40073941936921076,-0.07014122012386313,1.9049355497389506
AP-300,APAP,13,Cycling neutrophil,14,0.41779087492937284,0.6033160690310089,0.020967687552363716,0.5257623523101581,0.870820041103753,-0.28810029912871843,-0.1745314454296113,0.6800151572710638
AP-300,APAP,14,CCR7+ DC-like antigen-presenting myeloid,6,-0.5514533533981479,-0.6266487141319843,-0.10051191168254289,-0.2729711592687237,-0.08664136674258009,-0.7425375573571937,-0.16715350477461632,2.497126249179383
AP-300,APAP,15,Rare injury-associated macrophage-like cells,2,1.097845742808733,0.0781678236810685,0.8402296677968315,0.7302099238384904,-0.2380937600409631,0.6351334620448867,-0.38595303084520793,0.06371174203384883
AP-300-2,APAP,0,Inflammatory neutrophil,1962,-0.45592272985653814,-0.24299199844719482,0.9238364554140975,0.08112432992446678,1.7627557117328625,1.1559181944779897,-0.16089127868980999,-0.039121886501583276
AP-300-2,APAP,1,Resident Kupffer cell,222,2.105996986403721,0.08789394382197455,-0.030765758249543647,1.4841924677976885,-0.14230937434112936,-0.18806730898266208,0.040778004581886115,0.9295707739208764
AP-300-2,APAP,2,Antigen-presenting macrophage / Mo-Mac,321,0.03499172854514895,0.6087267374803551,0.25831441877631706,1.0234978587705348,-0.19741448880885426,-0.050334399036642656,0.1199433280142061,1.7722108703961896
