sample_id,group,celltype_manual,n_cells,Neutrophil_inflammation1_mean,Chemokine_recruitment1_mean,IL1_TNF_inflammatory1_mean,IFN_response1_mean,Antigen_presentation1_mean,Kupffer_resident_identity1_mean,Phagocytosis_efferocytosis1_mean,Tissue_repair_ECM1_mean,Endothelial_activation1_mean,ROS_degranulation1_mean,T_NK_activation1_mean,Anti_inflammatory_repair1_mean
AP-300,APAP,Activated neutrophil,48,1.3090654906434895,0.1579872661007333,0.35304219122143105,-0.02164418397032605,1.517487338715898,-0.006145666035341058,-0.05317061498044618,-0.022435992575060452,-0.04304808023425457,0.09627052288395666,-0.3035353042702968,-0.03800862044835648
AP-300,APAP,B cell,421,-0.11819872854872686,-0.05892076366987471,-0.07824032934509863,-0.11446576142848348,1.5638429502336662,-0.05065740585437067,-0.07983978203797477,-0.10319209659735873,-0.056857136561201005,0.014991238296934883,0.0327115707580581,-0.12796273965740346
AP-300,APAP,Cytotoxic T / NK-like,231,-0.0912829444971099,0.29508851686402043,-0.11511723265309547,0.08190291495659272,0.6491643046407494,-0.04890053541760099,-0.08732877401592226,-0.07844362799450671,-0.07402252538678858,-0.07148916211581552,1.062863534140218,-0.11306196660763462
AP-300,APAP,Endothelial,223,-0.06958176534274606,-0.06779248085828508,0.09119440921171419,0.07787258932022864,0.6759284322191562,-0.04398272910214576,0.22706363714406916,-0.08004716579260376,0.754525472118085,0.019519947432028364,-0.26317317116676314,9.987156419169042e-4
AP-300,APAP,Fibroblast / stellate,61,-0.13923205023063373,-0.10544031896279157,0.04591105304948125,0.0835590086017805,0.412276429563259,-0.08318513014787834,0.30281388068552745,0.9866130645738592,-0.057674640712504784,0.05584843559337554,-0.32062138137829205,-0.09807023736622457
AP-300,APAP,Inflammatory neutrophil,171,1.5096348010059573,0.2778552757644056,0.3607660115140266,0.05425552952212279,0.7452995065753961,-0.027640704667224784,-0.07335298212559813,0.019551954972649183,-0.06684100143886575,0.11178715670444837,0.19088426926370536,-0.01195146116752764
AP-300,APAP,Kupffer cell,204,0.029252669981202205,0.06944297933209298,0.1876016218604925,0.252537871307291,1.1854191836541934,2.6161242329087067,0.5040276067102383,0.003328837364488914,0.25590460330516057,0.6217339369972166,-0.3564915908129487,1.4409919843396508
AP-300,APAP,Monocyte-derived macrophage / DC-like,601,0.1187376066824585,0.26204027507690303,0.13933809866113267,0.22278207195542007,1.5278899748575385,0.20713296726435823,0.023868952377424098,0.09160639128778487,-0.07135473507208683,0.43088753444771283,-0.35596658063926256,0.2948586987831015
AP-300,APAP,NK cell,198,-0.03416072176508989,0.2675489969009624,-0.0854483031019837,-0.08799204423133795,0.7556677113678217,-0.048886983299665156,-0.08032644226827909,-0.1074899568199967,-0.06693616263839558,-0.09576548749737944,1.0463616468486614,-0.1317755434523312
AP-300,APAP,Neutrophil,100,2.3472550522206443,-0.03467714023475609,0.0933400017117076,0.11997665208987218,0.5356245884312121,-0.03432031119432369,-0.06299720511004173,0.2145552486444966,-0.06494197612516749,0.5190910230029093,-0.17531771384252154,0.285995003911849
AP-300,APAP,T cell,806,-0.1628889216076501,-0.03276653686406298,-0.07371153985459168,-0.09032392539721468,0.6829051186980566,-0.043696922499666405,-0.080136335412299,-0.11855489730233401,-0.06359853939253256,-0.08121382450310498,0.38023441663932217,-0.13049399589939614
AP-300-2,APAP,Activated neutrophil,305,1.3678840925935314,0.12222338323264774,0.41934900377342227,-0.007969713853253048,1.4213701027168086,-0.07133827192819084,-0.07175357475733614,-0.007920271787673247,-0.06762677153737255,0.1087229190754788,-0.3953084472519729,-0.05913676975886281
AP-300-2,APAP,B cell,4908,-0.11382624192629001,-0.13647929623860713,-0.04403403508539037,-0.10324232397391647,1.6536109883082948,-0.054620866787175586,-0.05233653307193604,-0.0979271573026491,-0.042098510128026116,-0.021390667770437057,-0.25329925816718946,-0.11765440324738925
AP-300-2,APAP,Cytotoxic T / NK-like,690,-0.1261787394052626,0.1743179706254532,-0.061429621326428575,0.27499473075683817,0.6380091126725268,-0.07268303477399447,-0.0787508268276111,-0.10919973171742202,-0.07581518087865549,-0.0958621925865552,0.7728365327236655,-0.13362070007759433
AP-300-2,APAP,Endothelial,618,-0.08499338703517989,-0.11454078179662636,0.13029682045871396,0.1283297560170973,0.6285008091358414,-0.06977462426154324,0.2737430472955791,-0.08666383413334576,0.7980293079142303,0.006501841670127612,-0.3382666195024149,0.035447512336003184
AP-300-2,APAP,Fibroblast / stellate,46,-0.12661734184548082,-0.0645413574871999,0.14684524270067378,0.09623223163816715,0.42044000903158163,-0.11340363932849144,0.2851295216405987,0.8291098152066102,-0.030572403632124143,0.06555457190943534,-0.32328996130420506,-0.11592297935078799
AP-300-2,APAP,Inflammatory neutrophil,3206,1.7861779793040207,0.26019083448073327,0.5763166446758236,0.08650794562243826,0.6266044035204767,-0.046016268175371716,-0.06067452692000442,0.07260099121637446,-0.06122239613995107,0.1625141991974802,-0.18746517026749285,0.01749298817039481
AP-300-2,APAP,Kupffer cell,225,0.03768643929097865,0.05098804983941626,0.2044701942832594,0.25645487626124064,1.2301181714442408,2.4724270018940104,0.49493988278027495,0.019733497196225743,0.26410890771563994,0.5760946553028264,-0.36976439155478147,1.387935518800113
AP-300-2,APAP,Monocyte-derived macrophage / DC-like,850,0.03185697779792378,0.19228574879058372,0.15621016954942382,0.2736624597983706,1.4856697898928226,0.13945956215847805,0.05434073582743083,0.09846036033358559,-0.09359082617452352,0.45174857265394597,-0.421596215347777,0.28048192492162
AP-300-2,APAP,NK cell,1771,0.030778934132704477,0.30517119582259483,-0.05277849398680395,-0.08578497796998746,0.7502257008592148,-0.06520961033187436,-0.07579807914447925,-0.1039708502162304,-0.06317406817557976,-0.09886908529474184,1.0062656538275827,-0.126507734285467
AP-300-2,APAP,Neutrophil,196,2.27611631363687,-0.08870438587019847,0.041022791463676614,0.08009128261725246,0.45082990526179423,-0.07102608440671217,-0.07593181476895583,0.2168074558435049,-0.09248384215617353,0.5472980054609994,-0.26066352836775686,0.2922248469822207
AP-300-2,APAP,T cell,5229,-0.15635473514894985,-0.057707690256310146,-0.048588843444863826,-0.08098267301275737,0.6539275607068672,-0.06267658621889342,-0.07180497527846429,-0.12215884868678359,-0.06558413761709132,-0.10972128017006288,0.283240678614477,-0.13079844173054994
AP-300-3,APAP,Activated neutrophil,130,1.344939500689063,0.14696667635912,0.45664968091438746,-0.027750871776042,1.4707858247142989,-0.041537423176248624,-0.0688566650604539,-0.008454921645363728,-0.05930333136284953,0.10819404710258078,-0.3533683971430092,-0.040725191215751015
AP-300-3,APAP,B cell,4012,-0.06843300703217071,-0.10792179490876216,-0.029640383756770843,-0.10212390833339247,1.6853255438521637,-0.029272707183124764,-0.040465474777441224,-0.07074239300675284,-0.033408386415017345,-0.035341511493612976,-0.2420904980406714,-0.09747575038333746
AP-300-3,APAP,Cytotoxic T / NK-like,540,-0.07553173696324957,0.23210355663494023,-0.07582572713983818,0.11195352127263027,0.7296766126474613,-0.047706736837769236,-0.07401268248403559,-0.07618535807011188,-0.06640634383816896,-0.09654854225265307,0.8269100379483372,-0.11329767857744764
