analysis_level,cell_group,evidence_source,direction,evidence_detail,confidence
myeloid_subtype,Inflammatory neutrophil,composition,Expanded,"delta_proportion = +0.0563; mean_APAP = 0.0979, mean_Control = 0.0415",Low
myeloid_subtype,Inflammatory neutrophil,module_score,Functional description only,"Up: Chemokine_recruitment, Antigen_presentation, T_NK_activation; Down: IFN_response, ROS_degranulation, Tissue_repair_ECM",Low
myeloid_subtype,Inflammatory neutrophil,pseudobulk_DE,No significant DEGs,0/8080 genes with FDR < 0.05,Low
myeloid_subtype,Resident Kupffer cell,composition,Contracted,"delta_proportion = -0.0501; mean_APAP = 0.1049, mean_Control = 0.1550",Uncertain
myeloid_subtype,Resident Kupffer cell,module_score,Functional description only,"Up: Neutrophil_inflammation, Antigen_presentation, Endothelial_activation; Down: Phagocytosis_efferocytosis, ROS_degranulation, IFN_response",Uncertain
myeloid_subtype,Resident Kupffer cell,pseudobulk_DE,Upregulated,"n_up=221, n_down=209, n_total_tested=8818. Up (FDR<0.05): Vdr, Cdkn1a, Trem1, Tgfb3, Mkl1; Down (FDR<0.05): Gpnmb, Gm35154, Mmp13, Prr5l, Cyp26b1",Uncertain
global_celltype,Monocyte-derived macrophage / DC-like,composition,Expanded,"delta_proportion = +0.0266; mean_APAP = 0.0617, mean_Control = 0.0351",Uncertain
global_celltype,Monocyte-derived macrophage / DC-like,module_score,Functional description only,"Up: Neutrophil_inflammation, T_NK_activation, IL1_TNF_inflammatory; Down: Anti_inflammatory_repair, Kupffer_resident_identity, ROS_degranulation",Uncertain
global_celltype,Monocyte-derived macrophage / DC-like,pseudobulk_DE,Downregulated,"n_up=74, n_down=87, n_total_tested=10794. Up (FDR<0.05): Tgfb3, Slc5a3, Zbtb16, Map3k6, Fkbp5; Down (FDR<0.05): Iglc1, Slc16a13, Hamp, Ephx2, Gm38843",Uncertain
myeloid_subtype,Monocyte-derived macrophage,composition,Contracted,"delta_proportion = -0.0088; mean_APAP = 0.0452, mean_Control = 0.0539",Uncertain
myeloid_subtype,Monocyte-derived macrophage,module_score,Functional description only,"Up: Antigen_presentation, Neutrophil_inflammation, IL1_TNF_inflammatory; Down: ROS_degranulation, Anti_inflammatory_repair, Chemokine_recruitment",Uncertain
myeloid_subtype,Monocyte-derived macrophage,pseudobulk_DE,Upregulated,"n_up=12, n_down=9, n_total_tested=5338. Up (FDR<0.05): Klf9, Il1r2, Fkbp5, Pdcd4, Hist1h2bc; Down (FDR<0.05): Vcan, Chil3, Fpr2, Fam69a, Pou2f2",Uncertain
myeloid_subtype,Antigen-presenting macrophage / Mo-Mac,composition,Contracted,"delta_proportion = -0.0363; mean_APAP = 0.1083, mean_Control = 0.1446",Uncertain
myeloid_subtype,Antigen-presenting macrophage / Mo-Mac,module_score,Functional description only,"Up: Neutrophil_inflammation, T_NK_activation, Antigen_presentation; Down: Anti_inflammatory_repair, Kupffer_resident_identity, Chemokine_recruitment",Uncertain
myeloid_subtype,Antigen-presenting macrophage / Mo-Mac,pseudobulk_DE,Upregulated,"n_up=70, n_down=40, n_total_tested=8453. Up (FDR<0.05): Tgfb3, Zbtb16, Map3k6, Il1r2, Hdc; Down (FDR<0.05): Iglc1, P2ry13, Hamp, Gm38843, Cx3cr1",Uncertain
myeloid_subtype,DC-like antigen-presenting myeloid,composition,Contracted,"delta_proportion = -0.0054; mean_APAP = 0.1206, mean_Control = 0.1260",High
myeloid_subtype,DC-like antigen-presenting myeloid,module_score,Functional description only,"Up: Neutrophil_inflammation, Kupffer_resident_identity, Tissue_repair_ECM; Down: Antigen_presentation, ROS_degranulation, Phagocytosis_efferocytosis",High
myeloid_subtype,DC-like antigen-presenting myeloid,pseudobulk_DE,Downregulated,"n_up=42, n_down=60, n_total_tested=8609. Up (FDR<0.05): Pex11a, Csf1, Slc5a3, Klf9, Hdc; Down (FDR<0.05): Mmp12, Hamp, Serpina1e, Gm38843, Gm9733",High
