"source","target","ligand","receptor","pathway_name","annotation","expr_ligand","expr_receptor","interaction_score","group"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","App","Cd74","APP","Cell-Cell Contact",2.08352256117727,5.00206359823383,10.4219123593637,"APAP"
"Fibroblast / stellate","Kupffer cell","App","Cd74","APP","Cell-Cell Contact",2.08352256117727,3.9215018679072,8.17053761548345,"APAP"
"Kupffer cell","Inflammatory neutrophil","Ccl6","Ccr1","CCL","Secreted Signaling",2.74121488992137,2.18109567940084,5.97885195271673,"APAP"
"Fibroblast / stellate","Endothelial","App","Cd74","APP","Cell-Cell Contact",2.08352256117727,2.03195419461618,4.2336224077616,"APAP"
"Fibroblast / stellate","Kupffer cell","Col1a2","Cd44","COLLAGEN","ECM-Receptor",2.97169904088111,1.38652724332197,4.12034167913542,"APAP"
"Fibroblast / stellate","Kupffer cell","Col1a1","Cd44","COLLAGEN","ECM-Receptor",2.73063809968843,1.38652724332197,3.78610411687093,"APAP"
"Inflammatory neutrophil","Endothelial","Ptprc","Mrc1","CD45","Cell-Cell Contact",2.31196208869195,1.49977541476354,3.46742390048555,"APAP"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","Col1a2","Cd44","COLLAGEN","ECM-Receptor",2.97169904088111,1.08416209818688,3.22180346734159,"APAP"
"Activated neutrophil","Endothelial","Ptprc","Mrc1","CD45","Cell-Cell Contact",2.06870699957881,1.49977541476354,3.10259589831755,"APAP"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","Col1a1","Cd44","COLLAGEN","ECM-Receptor",2.73063809968843,1.08416209818688,2.96045433154723,"APAP"
"Kupffer cell","Neutrophil","Ccl6","Ccr1","CCL","Secreted Signaling",2.74121488992137,1.00412790036502,2.75253035186606,"APAP"
"Kupffer cell","Inflammatory neutrophil","Ccl5","Ccr1","CCL","Secreted Signaling",1.21918957930961,2.18109567940084,2.65916912380272,"APAP"
"Kupffer cell","Endothelial","App","Cd74","APP","Cell-Cell Contact",1.16671169225866,2.03195419461618,2.37070471699272,"APAP"
"Fibroblast / stellate","Kupffer cell","Gas6","Axl","GAS","Secreted Signaling",1.68321774343069,1.39509492776469,2.34824853618368,"APAP"
"Inflammatory neutrophil","Endothelial","Thbs1","Cd47","THBS","ECM-Receptor",1.19792810384,1.95195634647387,2.3383033649099,"APAP"
"Kupffer cell","Neutrophil","App","Cd74","APP","Cell-Cell Contact",1.16671169225866,1.99627039648236,2.32907201248579,"APAP"
"Kupffer cell","Inflammatory neutrophil","Ccl9","Ccr1","CCL","Secreted Signaling",1.04601396353487,2.18109567940084,2.28145653645886,"APAP"
"Neutrophil","Endothelial","Thbs1","Cd47","THBS","ECM-Receptor",1.14176469460314,1.95195634647387,2.2286748418104,"APAP"
"Kupffer cell","Endothelial","Ptprc","Mrc1","CD45","Cell-Cell Contact",1.44756761424935,1.49977541476354,2.17102631905909,"APAP"
"Neutrophil","Endothelial","Ptprc","Mrc1","CD45","Cell-Cell Contact",1.43851731769982,1.49977541476354,2.15745290679779,"APAP"
"Kupffer cell","Inflammatory neutrophil","App","Cd74","APP","Cell-Cell Contact",1.16671169225866,1.83202870456232,2.13744931016634,"APAP"
"Kupffer cell","Inflammatory neutrophil","Cxcl2","Cxcr2","CXCL","Secreted Signaling",0.852408310839509,2.37587066363753,2.02521189916441,"APAP"
"Kupffer cell","Inflammatory neutrophil","Lgals9","Ptprc","GALECTIN","Secreted Signaling",0.865136180901777,2.31196208869195,2.00016205180065,"APAP"
"Fibroblast / stellate","Kupffer cell","Col6a1","Cd44","COLLAGEN","ECM-Receptor",1.44143848059721,1.38652724332197,1.99859372292066,"APAP"
"Fibroblast / stellate","Kupffer cell","Col4a1","Cd44","COLLAGEN","ECM-Receptor",1.32031849152513,1.38652724332197,1.83065755836135,"APAP"
"Monocyte-derived macrophage / DC-like","NK cell","Lgals9","Ptprc","GALECTIN","Secreted Signaling",0.732925031958744,2.43054673761766,1.78140854534565,"APAP"
"Fibroblast / stellate","Kupffer cell","Ppia","Bsg","CypA","Non-protein Signaling",1.98028300778151,0.885308402763336,1.75316118663842,"APAP"
"Fibroblast / stellate","Kupffer cell","Gas6","Mertk","GAS","Secreted Signaling",1.68321774343069,1.04061278381463,1.75157790175759,"APAP"
"Activated neutrophil","Endothelial","Thbs1","Cd47","THBS","ECM-Receptor",0.833924885643182,1.95195634647387,1.62778497301371,"APAP"
"Neutrophil","Endothelial","App","Cd74","APP","Cell-Cell Contact",0.79660908056679,2.03195419461618,1.61867316272703,"APAP"
"Fibroblast / stellate","Endothelial","Ppia","Bsg","CypA","Non-protein Signaling",1.98028300778151,0.802164072615813,1.58851188245391,"APAP"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","Col6a1","Cd44","COLLAGEN","ECM-Receptor",1.44143848059721,1.08416209818688,1.56275296753157,"APAP"
"Fibroblast / stellate","Kupffer cell","Col6a2","Cd44","COLLAGEN","ECM-Receptor",1.12359763233125,1.38652724332197,1.55789872775933,"APAP"
"Monocyte-derived macrophage / DC-like","T cell","Lgals9","Ptprc","GALECTIN","Secreted Signaling",0.732925031958744,2.05969708654022,1.50960355297782,"APAP"
"Monocyte-derived macrophage / DC-like","T cell","H2-D1","Cd8b1","MHC-I","Cell-Cell Contact",3.64841591204985,0.40804664504343,1.48872387263501,"APAP"
"Fibroblast / stellate","Kupffer cell","Fn1","Cd44","FN1","ECM-Receptor",1.06585617827287,1.38652724332197,1.47783862863838,"APAP"
"Kupffer cell","Endothelial","Cdh5","Cdh5","CDH5","Cell-Cell Contact",0.928760841407031,1.56951389404217,1.45770304483063,"APAP"
"Monocyte-derived macrophage / DC-like","NK cell","App","Cd74","APP","Cell-Cell Contact",0.833456752169488,1.7472591546779,1.45626494025625,"APAP"
"Kupffer cell","Inflammatory neutrophil","App","Sorl1","APP","Cell-Cell Contact",1.16671169225866,1.23993283378135,1.44664413478811,"APAP"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","Col4a1","Cd44","COLLAGEN","ECM-Receptor",1.32031849152513,1.08416209818688,1.43143926604681,"APAP"
"Inflammatory neutrophil","Endothelial","Sirpb1b","Cd47","SIRP","Cell-Cell Contact",0.724082635155151,1.95195634647387,1.41337769506262,"APAP"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","Ppia","Bsg","CypA","Non-protein Signaling",1.98028300778151,0.713519786938501,1.4129711097902,"APAP"
"Kupffer cell","Inflammatory neutrophil","Ccl3","Ccr1","CCL","Secreted Signaling",0.642957181303942,2.18109567940084,1.40235113018177,"APAP"
"Monocyte-derived macrophage / DC-like","T cell","App","Cd74","APP","Cell-Cell Contact",0.833456752169488,1.68046333001032,1.40059350917032,"APAP"
"Kupffer cell","Inflammatory neutrophil","Lgals9","Cd44","GALECTIN","Secreted Signaling",0.865136180901777,1.57595669212796,1.36341715389418,"APAP"
"Fibroblast / stellate","Kupffer cell","C3","C3ar1","COMPLEMENT","Secreted Signaling",2.88389947931451,0.472355580190274,1.36222601176204,"APAP"
"Inflammatory neutrophil","Endothelial","App","Cd74","APP","Cell-Cell Contact",0.660892462552385,2.03195419461618,1.34290321147354,"APAP"
"Inflammatory neutrophil","Endothelial","Thbs1","Cd36","THBS","ECM-Receptor",1.19792810384,1.10465588160528,1.32329832564712,"APAP"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","App","Sorl1","APP","Cell-Cell Contact",2.08352256117727,0.624219576190093,1.30057557012057,"APAP"
"Kupffer cell","Endothelial","Ppia","Bsg","CypA","Non-protein Signaling",1.60967509241737,0.802164072615813,1.29122352772175,"APAP"
"Neutrophil","Endothelial","Thbs1","Cd36","THBS","ECM-Receptor",1.14176469460314,1.10465588160528,1.26125708530261,"APAP"
"Kupffer cell","Neutrophil","Lgals9","Ptprc","GALECTIN","Secreted Signaling",0.865136180901777,1.43851731769982,1.24451337839589,"APAP"
"Monocyte-derived macrophage / DC-like","T cell","H2-K1","Cd8b1","MHC-I","Cell-Cell Contact",3.02119927119779,0.40804664504343,1.23279022661991,"APAP"
"Kupffer cell","Neutrophil","Ccl5","Ccr1","CCL","Secreted Signaling",1.21918957930961,1.00412790036502,1.22422227241907,"APAP"
"Kupffer cell","Inflammatory neutrophil","Spp1","Cd44","SPP1","Secreted Signaling",0.775584562297521,1.57595669212796,1.22228768126391,"APAP"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","Col6a2","Cd44","COLLAGEN","ECM-Receptor",1.12359763233125,1.08416209818688,1.21816196658605,"APAP"
"Activated neutrophil","Endothelial","Ppia","Bsg","CypA","Non-protein Signaling",1.51481547951603,0.802164072615813,1.21513055431006,"APAP"
"Fibroblast / stellate","Kupffer cell","Col1a2","Sdc4","COLLAGEN","ECM-Receptor",2.97169904088111,0.408326037755269,1.21342209476412,"APAP"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","Col1a2","Sdc4","COLLAGEN","ECM-Receptor",2.97169904088111,0.393067751519305,1.16807906019121,"APAP"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","Fn1","Cd44","FN1","ECM-Receptor",1.06585617827287,1.08416209818688,1.15556087060176,"APAP"
"Fibroblast / stellate","Kupffer cell","Spp1","Cd44","SPP1","Secreted Signaling",0.810287948619687,1.38652724332197,1.12348631569667,"APAP"
"Fibroblast / stellate","Kupffer cell","Col1a1","Sdc4","COLLAGEN","ECM-Receptor",2.73063809968843,0.408326037755269,1.11499063578935,"APAP"
"Fibroblast / stellate","Kupffer cell","Ptprc","Mrc1","CD45","Cell-Cell Contact",0.499115507310167,2.21531366064317,1.10569740158306,"APAP"
"Fibroblast / stellate","Kupffer cell","Col6a3","Cd44","COLLAGEN","ECM-Receptor",0.793950774891006,1.38652724332197,1.10083437924297,"APAP"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","Col1a1","Sdc4","COLLAGEN","ECM-Receptor",2.73063809968843,0.393067751519305,1.07332577805748,"APAP"
"Kupffer cell","Neutrophil","Ccl9","Ccr1","CCL","Secreted Signaling",1.04601396353487,1.00412790036502,1.05033180495676,"APAP"
"Kupffer cell","Neutrophil","App","Sorl1","APP","Cell-Cell Contact",1.16671169225866,0.878891812928597,1.0254133543742,"APAP"
"Inflammatory neutrophil","Endothelial","Sirpb1c","Cd47","SIRP","Cell-Cell Contact",0.52500615707391,1.95195634647387,1.02478910023828,"APAP"
"Monocyte-derived macrophage / DC-like","NK cell","H2-D1","Cd8a","MHC-I","Cell-Cell Contact",3.64841591204985,0.270363750712865,0.986399410142294,"APAP"
