"source","target","ligand","receptor","pathway_name","annotation","score_control","exprL_control","exprR_control","score_apap","exprL_apap","exprR_apap","delta_score","max_score","axis"
"Fibroblast / stellate","Endothelial","App","Cd74","APP","Cell-Cell Contact",2.87138645669737,1.94126929343418,1.47912835504536,4.2336224077616,2.08352256117727,2.03195419461618,1.36223595106423,4.2336224077616,"Fibroblast / stellate -> Endothelial"
"Fibroblast / stellate","Kupffer cell","App","Cd74","APP","Cell-Cell Contact",6.89610245371248,1.94126929343418,3.55236776115332,8.17053761548345,2.08352256117727,3.9215018679072,1.27443516177096,8.17053761548345,"Fibroblast / stellate -> Kupffer cell"
"Kupffer cell","Inflammatory neutrophil","Cxcl2","Cxcr2","CXCL","Secreted Signaling",0.890292632401651,0.322049119446813,2.76446224703522,2.02521189916441,0.852408310839509,2.37587066363753,1.13491926676276,2.02521189916441,"Kupffer cell -> Inflammatory neutrophil"
"Kupffer cell","Inflammatory neutrophil","Ccl6","Ccr1","CCL","Secreted Signaling",4.94572165015908,2.4080777196002,2.05380482943058,5.97885195271673,2.74121488992137,2.18109567940084,1.03313030255765,5.97885195271673,"Kupffer cell -> Inflammatory neutrophil"
"Inflammatory neutrophil","Endothelial","Thbs1","Cd47","THBS","ECM-Receptor",1.31474247522564,0.663290302548289,1.9821524152766,2.3383033649099,1.19792810384,1.95195634647387,1.02356088968426,2.3383033649099,"Inflammatory neutrophil -> Endothelial"
"Inflammatory neutrophil","Endothelial","Ptprc","Mrc1","CD45","Cell-Cell Contact",4.48880369107352,2.42642667748933,1.84996469611774,3.46742390048555,2.31196208869195,1.49977541476354,-1.02137979058797,4.48880369107352,"Inflammatory neutrophil -> Endothelial"
"Activated neutrophil","Endothelial","Ptprc","Mrc1","CD45","Cell-Cell Contact",4.11311667797307,2.22334874098122,1.84996469611774,3.10259589831755,2.06870699957881,1.49977541476354,-1.01052077965552,4.11311667797307,"Activated neutrophil -> Endothelial"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","Col1a1","Cd44","COLLAGEN","ECM-Receptor",2.01190445711856,2.19413142556271,0.916948015820241,2.96045433154723,2.73063809968843,1.08416209818688,0.948549874428668,2.96045433154723,"Fibroblast / stellate -> Monocyte-derived macrophage / DC-like"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","App","Cd74","APP","Cell-Cell Contact",9.4842683734023,1.94126929343418,4.88560160379616,10.4219123593637,2.08352256117727,5.00206359823383,0.937643985961426,10.4219123593637,"Fibroblast / stellate -> Monocyte-derived macrophage / DC-like"
"Fibroblast / stellate","Kupffer cell","C3","C3ar1","COMPLEMENT","Secreted Signaling",2.20840634085885,2.40789582013867,0.917151947517259,1.36222601176204,2.88389947931451,0.472355580190274,-0.846180329096817,2.20840634085885,"Fibroblast / stellate -> Kupffer cell"
"Fibroblast / stellate","Endothelial","Thbs2","Cd36","THBS","ECM-Receptor",1.2373465982583,0.717798732096703,1.72380716617316,0.393911280530657,0.35659184646555,1.10465588160528,-0.843435317727645,1.2373465982583,"Fibroblast / stellate -> Endothelial"
"Fibroblast / stellate","Endothelial","Gas6","Mertk","GAS","Secreted Signaling",1.60131952273202,1.58471678369437,1.01047678626773,0.776199723233794,1.68321774343069,0.461140411728174,-0.825119799498223,1.60131952273202,"Fibroblast / stellate -> Endothelial"
"Fibroblast / stellate","Kupffer cell","Col1a2","Sdc4","COLLAGEN","ECM-Receptor",0.424101699729256,2.85012115663652,0.148801288233566,1.21342209476412,2.97169904088111,0.408326037755269,0.789320395034862,1.21342209476412,"Fibroblast / stellate -> Kupffer cell"
"Fibroblast / stellate","Kupffer cell","Col1a1","Sdc4","COLLAGEN","ECM-Receptor",0.326489582677482,2.19413142556271,0.148801288233566,1.11499063578935,2.73063809968843,0.408326037755269,0.788501053111871,1.11499063578935,"Fibroblast / stellate -> Kupffer cell"
"Neutrophil","Endothelial","Ptprc","Mrc1","CD45","Cell-Cell Contact",2.91229601692577,1.5742441047861,1.84996469611774,2.15745290679779,1.43851731769982,1.49977541476354,-0.75484311012798,2.91229601692577,"Neutrophil -> Endothelial"
"Kupffer cell","Inflammatory neutrophil","Ccl9","Ccr1","CCL","Secreted Signaling",1.52919842819491,0.744568522910176,2.05380482943058,2.28145653645886,1.04601396353487,2.18109567940084,0.752258108263942,2.28145653645886,"Kupffer cell -> Inflammatory neutrophil"
"Kupffer cell","Endothelial","App","Cd74","APP","Cell-Cell Contact",1.63260786711755,1.10376348445263,1.47912835504536,2.37070471699272,1.16671169225866,2.03195419461618,0.738096849875179,2.37070471699272,"Kupffer cell -> Endothelial"
"Fibroblast / stellate","Endothelial","Thbs2","Cd47","THBS","ECM-Receptor",1.42278649050796,0.717798732096703,1.9821524152766,0.696051717809268,0.35659184646555,1.95195634647387,-0.726734772698692,1.42278649050796,"Fibroblast / stellate -> Endothelial"
"Neutrophil","Endothelial","Thbs1","Cd36","THBS","ECM-Receptor",1.97764039295417,1.14725152079773,1.72380716617316,1.26125708530261,1.14176469460314,1.10465588160528,-0.716383307651562,1.97764039295417,"Neutrophil -> Endothelial"
"Fibroblast / stellate","Kupffer cell","Ccl5","Ccr5","CCL","Secreted Signaling",1.05188214375615,1.1138350221399,0.944378766018036,0.36189253742071,1.28360658183454,0.28193415532623,-0.689989606335441,1.05188214375615,"Fibroblast / stellate -> Kupffer cell"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","C3","C3ar1","COMPLEMENT","Secreted Signaling",1.36411203020868,2.40789582013867,0.566516216690022,0.689100285787254,2.88389947931451,0.238947401159436,-0.675011744421424,1.36411203020868,"Fibroblast / stellate -> Monocyte-derived macrophage / DC-like"
"Fibroblast / stellate","Kupffer cell","Col1a1","Cd44","COLLAGEN","ECM-Receptor",3.14785031149572,2.19413142556271,1.43466807631563,3.78610411687093,2.73063809968843,1.38652724332197,0.638253805375212,3.78610411687093,"Fibroblast / stellate -> Kupffer cell"
"Neutrophil","Endothelial","App","Cd74","APP","Cell-Cell Contact",0.98777101823863,0.667806154124021,1.47912835504536,1.61867316272703,0.79660908056679,2.03195419461618,0.630902144488401,1.61867316272703,"Neutrophil -> Endothelial"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","Col1a2","Cd44","COLLAGEN","ECM-Receptor",2.61341293942514,2.85012115663652,0.916948015820241,3.22180346734159,2.97169904088111,1.08416209818688,0.608390527916448,3.22180346734159,"Fibroblast / stellate -> Monocyte-derived macrophage / DC-like"
"Monocyte-derived macrophage / DC-like","NK cell","Clec2d","Klrb1c","CLEC","Cell-Cell Contact",1.43496980558508,0.727150780284768,1.97341437909634,0.878742121426353,0.527729854792927,1.66513626895556,-0.556227684158731,1.43496980558508,"Monocyte-derived macrophage / DC-like -> NK cell"
"Activated neutrophil","Endothelial","Sirpb1b","Cd47","SIRP","Cell-Cell Contact",1.47654133731805,0.74491816367815,1.9821524152766,0.94469474175734,0.483973293492906,1.95195634647387,-0.531846595560714,1.47654133731805,"Activated neutrophil -> Endothelial"
"Kupffer cell","Neutrophil","Cxcl2","Cxcr2","CXCL","Secreted Signaling",0.460991290381552,0.322049119446813,1.43143161258569,0.979966314148019,0.852408310839509,1.14964425110178,0.518975023766468,0.979966314148019,"Kupffer cell -> Neutrophil"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","Col1a1","Sdc4","COLLAGEN","ECM-Receptor",0.566368793027083,2.19413142556271,0.258128928116433,1.07332577805748,2.73063809968843,0.393067751519305,0.506956985030393,1.07332577805748,"Fibroblast / stellate -> Monocyte-derived macrophage / DC-like"
"Monocyte-derived macrophage / DC-like","T cell","Cxcl16","Cxcr6","CXCL","Secreted Signaling",1.02292205402052,0.780288044090773,1.31095441198573,0.538648304806361,0.680973153124461,0.790997857015243,-0.484273749214154,1.02292205402052,"Monocyte-derived macrophage / DC-like -> T cell"
