"source","target","ligand","receptor","pathway_name","annotation","expr_ligand","expr_receptor","interaction_score","group"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","App","Cd74","APP","Cell-Cell Contact",1.94126929343418,4.88560160379616,9.4842683734023,"Control"
"Fibroblast / stellate","Kupffer cell","App","Cd74","APP","Cell-Cell Contact",1.94126929343418,3.55236776115332,6.89610245371248,"Control"
"Kupffer cell","Inflammatory neutrophil","Ccl6","Ccr1","CCL","Secreted Signaling",2.4080777196002,2.05380482943058,4.94572165015908,"Control"
"Inflammatory neutrophil","Endothelial","Ptprc","Mrc1","CD45","Cell-Cell Contact",2.42642667748933,1.84996469611774,4.48880369107352,"Control"
"Activated neutrophil","Endothelial","Ptprc","Mrc1","CD45","Cell-Cell Contact",2.22334874098122,1.84996469611774,4.11311667797307,"Control"
"Fibroblast / stellate","Kupffer cell","Col1a2","Cd44","COLLAGEN","ECM-Receptor",2.85012115663652,1.43466807631563,4.08897783705819,"Control"
"Fibroblast / stellate","Kupffer cell","Col1a1","Cd44","COLLAGEN","ECM-Receptor",2.19413142556271,1.43466807631563,3.14785031149572,"Control"
"Neutrophil","Endothelial","Ptprc","Mrc1","CD45","Cell-Cell Contact",1.5742441047861,1.84996469611774,2.91229601692577,"Control"
"Fibroblast / stellate","Endothelial","App","Cd74","APP","Cell-Cell Contact",1.94126929343418,1.47912835504536,2.87138645669737,"Control"
"Kupffer cell","Neutrophil","Ccl6","Ccr1","CCL","Secreted Signaling",2.4080777196002,1.13383279780847,2.73035749815454,"Control"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","Col1a2","Cd44","COLLAGEN","ECM-Receptor",2.85012115663652,0.916948015820241,2.61341293942514,"Control"
"Kupffer cell","Endothelial","Ptprc","Mrc1","CD45","Cell-Cell Contact",1.39020400993156,1.84996469611774,2.57182833877469,"Control"
"Kupffer cell","Inflammatory neutrophil","Ccl5","Ccr1","CCL","Secreted Signaling",1.14632273503975,2.05380482943058,2.35432316931071,"Control"
"Neutrophil","Endothelial","Thbs1","Cd47","THBS","ECM-Receptor",1.14725152079773,1.9821524152766,2.27402737287897,"Control"
"Fibroblast / stellate","Kupffer cell","Gas6","Axl","GAS","Secreted Signaling",1.58471678369437,1.42872948799234,2.26413159898053,"Control"
"Fibroblast / stellate","Kupffer cell","C3","C3ar1","COMPLEMENT","Secreted Signaling",2.40789582013867,0.917151947517259,2.20840634085885,"Control"
"Fibroblast / stellate","Kupffer cell","Col6a1","Cd44","COLLAGEN","ECM-Receptor",1.53534218195247,1.43466807631563,2.202706414668,"Control"
"Kupffer cell","Neutrophil","App","Cd74","APP","Cell-Cell Contact",1.10376348445263,1.97421185539645,2.17906295656007,"Control"
"Fibroblast / stellate","Kupffer cell","Col4a1","Cd44","COLLAGEN","ECM-Receptor",1.49399434609466,1.43466807631563,2.14338599453805,"Control"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","Col1a1","Cd44","COLLAGEN","ECM-Receptor",2.19413142556271,0.916948015820241,2.01190445711856,"Control"
"Neutrophil","Endothelial","Thbs1","Cd36","THBS","ECM-Receptor",1.14725152079773,1.72380716617316,1.97764039295417,"Control"
"Fibroblast / stellate","Kupffer cell","Gas6","Mertk","GAS","Secreted Signaling",1.58471678369437,1.18037229649952,1.87055578927066,"Control"
"Fibroblast / stellate","Kupffer cell","Ppia","Bsg","CypA","Non-protein Signaling",1.96775595658785,0.937024958766632,1.84383644408452,"Control"
"Fibroblast / stellate","Kupffer cell","Col6a2","Cd44","COLLAGEN","ECM-Receptor",1.26453267483292,1.43466807631563,1.81418466004081,"Control"
"Kupffer cell","Inflammatory neutrophil","Lgals9","Ptprc","GALECTIN","Secreted Signaling",0.743643692626599,2.42642667748933,1.80439689433585,"Control"
"Kupffer cell","Inflammatory neutrophil","App","Cd74","APP","Cell-Cell Contact",1.10376348445263,1.61360409823218,1.78103728199179,"Control"
"Inflammatory neutrophil","Endothelial","Sirpb1b","Cd47","SIRP","Cell-Cell Contact",0.87629755643521,1.9821524152766,1.73695531798903,"Control"
"Kupffer cell","Endothelial","Cdh5","Cdh5","CDH5","Cell-Cell Contact",0.955380503680357,1.77726136842759,1.69796086133999,"Control"
"Monocyte-derived macrophage / DC-like","NK cell","Lgals9","Ptprc","GALECTIN","Secreted Signaling",0.71493925982552,2.37150363439782,1.69548105304991,"Control"
"Kupffer cell","Endothelial","App","Cd74","APP","Cell-Cell Contact",1.10376348445263,1.47912835504536,1.63260786711755,"Control"
"Fibroblast / stellate","Endothelial","Gas6","Mertk","GAS","Secreted Signaling",1.58471678369437,1.01047678626773,1.60131952273202,"Control"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","Ppia","Bsg","CypA","Non-protein Signaling",1.96775595658785,0.797326200103005,1.56894337959624,"Control"
"Kupffer cell","Inflammatory neutrophil","Ccl9","Ccr1","CCL","Secreted Signaling",0.744568522910176,2.05380482943058,1.52919842819491,"Control"
"Kupffer cell","Inflammatory neutrophil","App","Sorl1","APP","Cell-Cell Contact",1.10376348445263,1.38502319148568,1.52873802388193,"Control"
"Monocyte-derived macrophage / DC-like","T cell","App","Cd74","APP","Cell-Cell Contact",0.875239668389198,1.69231783727925,1.48118370270941,"Control"
"Activated neutrophil","Endothelial","Sirpb1b","Cd47","SIRP","Cell-Cell Contact",0.74491816367815,1.9821524152766,1.47654133731805,"Control"
"Fibroblast / stellate","Endothelial","Ppia","Bsg","CypA","Non-protein Signaling",1.96775595658785,0.75030677357533,1.47642062297106,"Control"
"Kupffer cell","Inflammatory neutrophil","Spp1","Cd44","SPP1","Secreted Signaling",0.789442310771648,1.84427299315284,1.45594713340832,"Control"
"Monocyte-derived macrophage / DC-like","T cell","Lgals9","Ptprc","GALECTIN","Secreted Signaling",0.71493925982552,2.03631802684936,1.45584370288504,"Control"
"Monocyte-derived macrophage / DC-like","NK cell","Clec2d","Klrb1c","CLEC","Cell-Cell Contact",0.727150780284768,1.97341437909634,1.43496980558508,"Control"
"Monocyte-derived macrophage / DC-like","NK cell","App","Cd74","APP","Cell-Cell Contact",0.875239668389198,1.63382942375615,1.42999232305285,"Control"
"Fibroblast / stellate","Endothelial","Thbs2","Cd47","THBS","ECM-Receptor",0.717798732096703,1.9821524152766,1.42278649050796,"Control"
"Activated neutrophil","Endothelial","Ppia","Bsg","CypA","Non-protein Signaling",1.88242443737379,0.75030677357533,1.41239580610529,"Control"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","Col6a1","Cd44","COLLAGEN","ECM-Receptor",1.53534218195247,0.916948015820241,1.40782896734644,"Control"
"Kupffer cell","Inflammatory neutrophil","Lgals9","Cd44","GALECTIN","Secreted Signaling",0.743643692626599,1.84427299315284,1.37148197883969,"Control"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","Col4a1","Cd44","COLLAGEN","ECM-Receptor",1.49399434609466,0.916948015820241,1.36991515129816,"Control"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","C3","C3ar1","COMPLEMENT","Secreted Signaling",2.40789582013867,0.566516216690022,1.36411203020868,"Control"
"Monocyte-derived macrophage / DC-like","T cell","H2-D1","Cd8b1","MHC-I","Cell-Cell Contact",3.57280286039876,0.371207242898867,1.32625029922981,"Control"
"Inflammatory neutrophil","Endothelial","Thbs1","Cd47","THBS","ECM-Receptor",0.663290302548289,1.9821524152766,1.31474247522564,"Control"
"Kupffer cell","Inflammatory neutrophil","Ccl3","Ccr1","CCL","Secreted Signaling",0.634960882924386,2.05380482943058,1.30408572784961,"Control"
"Kupffer cell","Neutrophil","Ccl5","Ccr1","CCL","Secreted Signaling",1.14632273503975,1.13383279780847,1.29973831386158,"Control"
"Fibroblast / stellate","Endothelial","Thbs2","Cd36","THBS","ECM-Receptor",0.717798732096703,1.72380716617316,1.2373465982583,"Control"
"Kupffer cell","Endothelial","Ppia","Bsg","CypA","Non-protein Signaling",1.64870067989019,0.75030677357533,1.23703128771986,"Control"
"Inflammatory neutrophil","Endothelial","Sirpb1c","Cd47","SIRP","Cell-Cell Contact",0.616534579409662,1.9821524152766,1.2220655056784,"Control"
"Monocyte-derived macrophage / DC-like","NK cell","H2-D1","Cd8a","MHC-I","Cell-Cell Contact",3.57280286039876,0.341901737974622,1.22154750741104,"Control"
"Fibroblast / stellate","Kupffer cell","Fn1","Cd44","FN1","ECM-Receptor",0.849026779260754,1.43466807631563,1.21807161614248,"Control"
"Monocyte-derived macrophage / DC-like","T cell","Ccl6","Ccr2","CCL","Secreted Signaling",1.86059226624406,0.653191963894074,1.21532391639408,"Control"
"Fibroblast / stellate","Kupffer cell","Thbs2","Cd47","THBS","ECM-Receptor",0.717798732096703,1.69237533531975,1.21478486992425,"Control"
"Activated neutrophil","Endothelial","Sirpb1c","Cd47","SIRP","Cell-Cell Contact",0.597690562857902,1.9821524152766,1.18471379275682,"Control"
"Fibroblast / stellate","Kupffer cell","Angptl4","Sdc3","ANGPTL","Secreted Signaling",0.574668890377059,2.06064875180762,1.18419073165815,"Control"
"Monocyte-derived macrophage / DC-like","T cell","H2-Aa","Cd4","MHC-II","Cell-Cell Contact",3.78770933006281,0.309869423748947,1.17369530743507,"Control"
"Kupffer cell","Neutrophil","Lgals9","Ptprc","GALECTIN","Secreted Signaling",0.743643692626599,1.5742441047861,1.17067669917879,"Control"
"Fibroblast / stellate","Kupffer cell","Col4a2","Cd44","COLLAGEN","ECM-Receptor",0.811613267312486,1.43466807631563,1.16439564492745,"Control"
"Fibroblast / stellate","Monocyte-derived macrophage / DC-like","Col6a2","Cd44","COLLAGEN","ECM-Receptor",1.26453267483292,0.916948015820241,1.15951072712791,"Control"
