"axis","pathway_name","n_lr_pairs","mean_score_control","mean_score_apap","mean_delta","max_delta"
"Fibroblast / stellate -> Endothelial","APP",3,1.00711010507782,1.53357237708278,0.526462272004962,1.36223595106423
"Inflammatory neutrophil -> Endothelial","CD45",2,2.30545593980573,1.80409931320698,-0.501356626598749,0.0186665373904683
"Activated neutrophil -> Endothelial","CD45",2,2.11250255724131,1.61427944490135,-0.49822311233996,0.0140745549756039
"Fibroblast / stellate -> Kupffer cell","APP",3,2.59283442952727,3.01377166439922,0.420937234871951,1.27443516177096
"Neutrophil -> Endothelial","CD45",2,1.49575936324548,1.12252191227189,-0.37323745097359,0.00836820818080038
"Fibroblast / stellate -> Monocyte-derived macrophage / DC-like","APP",3,3.62759382052091,3.99521011110713,0.367616290586214,0.937643985961426
"Neutrophil -> Endothelial","APP",2,0.515909339344572,0.878138551357305,0.362229212012733,0.630902144488401
"Inflammatory neutrophil -> Endothelial","THBS",4,0.648907613307379,0.973879436733707,0.324971823426328,1.02356088968426
"Activated neutrophil -> Endothelial","SIRP",3,0.920030091305887,0.613351363199196,-0.306678728106691,0.0123147520132425
"Fibroblast / stellate -> Kupffer cell","COMPLEMENT",3,0.751472953393349,0.455078887403789,-0.296394065989561,-0.0159320878401014
"Fibroblast / stellate -> Endothelial","GAS",3,0.57947526528547,0.292660034861783,-0.286815230423687,-0.011410314038506
"Kupffer cell -> Endothelial","APP",3,0.572620894261227,0.858755674935623,0.286134780674396,0.738096849875179
"Fibroblast / stellate -> Monocyte-derived macrophage / DC-like","SPP1",1,0.617921422381543,0.878483482511059,0.260562060129515,0.260562060129515
"Fibroblast / stellate -> Kupffer cell","ApoA",1,0.795093305049034,0.542861993124283,-0.252231311924751,-0.252231311924751
"Kupffer cell -> Endothelial","CDH5",1,1.69796086133999,1.45770304483063,-0.240257816509354,-0.240257816509354
"Kupffer cell -> Inflammatory neutrophil","SPP1",1,1.45594713340832,1.22228768126391,-0.233659452144411,-0.233659452144411
"Monocyte-derived macrophage / DC-like -> T cell","MHC-II",8,0.612040946038089,0.403911383044314,-0.208129562993775,-0.036566423186491
"Monocyte-derived macrophage / DC-like -> T cell","SIRP",3,0.405717181780443,0.205351796147742,-0.2003653856327,-0.104767211845591
"Monocyte-derived macrophage / DC-like -> NK cell","CypA",1,0.990412720063667,0.792283064877601,-0.198129655186067,-0.198129655186067
"Fibroblast / stellate -> Monocyte-derived macrophage / DC-like","FN1",3,0.339071858561874,0.537049409025941,0.197977550464067,0.377047449980366
"Activated neutrophil -> Endothelial","CypA",1,1.41239580610529,1.21513055431006,-0.197265251795232,-0.197265251795232
"Inflammatory neutrophil -> Endothelial","SIRP",3,1.0315961816916,0.836338276588112,-0.19525790510349,-0.0649196869439322
"Neutrophil -> Endothelial","THBS",4,1.12237468777092,0.928220278076931,-0.194154409693987,0.00860446496871459
"Kupffer cell -> Endothelial","CD45",2,1.32089468104381,1.12958415341727,-0.191310527626537,0.018180964462531
"Fibroblast / stellate -> Kupffer cell","FN1",3,0.454366896491998,0.643243910990211,0.188877014498213,0.308880551592341
"Neutrophil -> Endothelial","CypA",1,0.744508199279139,0.932140182419346,0.187631983140207,0.187631983140207
"Fibroblast / stellate -> Monocyte-derived macrophage / DC-like","COMPLEMENT",4,0.358458837067336,0.180988250316587,-0.17747058675075,-0.00339749887518053
"Fibroblast / stellate -> Endothelial","CD34",1,0.279732449343388,0.455662447037643,0.175929997694255,0.175929997694255
"Fibroblast / stellate -> Kupffer cell","CD45",2,0.433431152028856,0.605952058258762,0.172520906229906,0.312847362066926
"Fibroblast / stellate -> Endothelial","THBS",14,0.36111263592025,0.192682832730354,-0.168429803189896,0.00521357322135002
"Fibroblast / stellate -> Monocyte-derived macrophage / DC-like","ICAM",2,0.0932422940741572,0.258417353991192,0.165175059917035,0.230926804314324
"Fibroblast / stellate -> Kupffer cell","ICAM",2,0.115924994061702,0.278144684521067,0.162219690459365,0.306316847507565
"Fibroblast / stellate -> Kupffer cell","ANNEXIN",2,0.634585255310726,0.475321374384219,-0.159263880926507,0.00208606327450145
"Fibroblast / stellate -> Kupffer cell","SPP1",1,0.966807412271165,1.12348631569667,0.156678903425501,0.156678903425501
"Fibroblast / stellate -> Monocyte-derived macrophage / DC-like","CypA",1,1.56894337959624,1.4129711097902,-0.155972269806042,-0.155972269806042
"Kupffer cell -> Inflammatory neutrophil","CCL",15,0.728662691358346,0.879017808455911,0.150355117097566,1.03313030255765
"Fibroblast / stellate -> Endothelial","PROS",2,0.256701268497865,0.106433797195493,-0.150267471302372,-0.0123293624742373
"Inflammatory neutrophil -> Endothelial","APP",2,0.578978990392681,0.728531928428168,0.149552938035487,0.23437769494478
"Monocyte-derived macrophage / DC-like -> NK cell","SIRP",3,0.400759848479265,0.251355873084703,-0.149403975394562,-0.065224348814532
"Kupffer cell -> Endothelial","PECAM2",1,0.505236022209593,0.356926733965544,-0.148309288244049,-0.148309288244049
"Inflammatory neutrophil -> Endothelial","SELL",2,0.518333448871853,0.370074254488797,-0.148259194383056,-0.0260712496046547
"Fibroblast / stellate -> Kupffer cell","MK",4,0.276422723145126,0.423216806195148,0.146794083050022,0.234209249176158
"Kupffer cell -> Endothelial","GALECTIN",4,0.295360873707476,0.441827163650346,0.146466289942869,0.2946933307288
"Activated neutrophil -> Endothelial","ADGRE",3,0.249129096230743,0.105266728251887,-0.143862367978856,-0.0228768202678219
"Kupffer cell -> Inflammatory neutrophil","SELPLG",2,0.551812105751102,0.409580642901039,-0.142231462850064,-0.0210053727765597
"Kupffer cell -> Endothelial","ApoA",1,0.318733848264278,0.177877339584541,-0.140856508679737,-0.140856508679737
"Activated neutrophil -> Endothelial","SELL",2,0.545166237979247,0.411763054845918,-0.133403183133328,-0.0150356624131498
"Fibroblast / stellate -> Monocyte-derived macrophage / DC-like","COLLAGEN",37,0.399794813715287,0.530767466288012,0.130972652572725,0.948549874428668
"Kupffer cell -> Neutrophil","CD52",1,0.2585605225915,0.128339027033781,-0.130221495557719,-0.130221495557719
"Kupffer cell -> Neutrophil","VTN",1,0.184011258881432,0.0586556765080248,-0.125355582373407,-0.125355582373407
"Neutrophil -> Endothelial","ApoA",1,0.269661206564468,0.146286452809806,-0.123374753754662,-0.123374753754662
"Kupffer cell -> Neutrophil","APP",3,1.03844528010013,1.15947721004561,0.121031929945478,0.201772367880925
"Inflammatory neutrophil -> Endothelial","ApoA",1,0.304482683262757,0.183749055793388,-0.120733627469369,-0.120733627469369
"Fibroblast / stellate -> Endothelial","ESAM",1,0.284146009571194,0.404819633120409,0.120673623549215,0.120673623549215
"Fibroblast / stellate -> Kupffer cell","PROS",2,0.616691422298939,0.500383416891949,-0.11630800540699,-0.102186511057859
"Activated neutrophil -> Endothelial","APP",2,0.386976703029687,0.503163737603529,0.116187034573842,0.186568085688733
"Kupffer cell -> Inflammatory neutrophil","CXCL",10,0.134335857471044,0.24840131648064,0.114065459009596,1.13491926676276
"Fibroblast / stellate -> Endothelial","CypA",1,1.47642062297106,1.58851188245391,0.112091259482845,0.112091259482845
"Activated neutrophil -> Endothelial","THBS",4,0.567362075176844,0.677955793260925,0.110593718084081,0.478260751429612
"Fibroblast / stellate -> Monocyte-derived macrophage / DC-like","SELPLG",1,0.136036433404156,0.245906846604606,0.109870413200449,0.109870413200449
"Fibroblast / stellate -> Endothelial","VEGF",8,0.295079618890122,0.188185041696901,-0.106894577193221,0.124684263275119
"Fibroblast / stellate -> Kupffer cell","COLLAGEN",35,0.566034506759452,0.671909654956364,0.105875148196912,0.789320395034862
"Fibroblast / stellate -> Monocyte-derived macrophage / DC-like","ApoA",1,0.215792744278274,0.110793063817516,-0.104999680460758,-0.104999680460758
"Monocyte-derived macrophage / DC-like -> T cell","CD52",1,0.128772300416289,0.0251210425389326,-0.103651257877356,-0.103651257877356
"Monocyte-derived macrophage / DC-like -> T cell","CXCL",6,0.230973166436981,0.132876569039172,-0.0980965973978093,0.0223348968469459
"Kupffer cell -> Inflammatory neutrophil","GRN",1,0.248703407097764,0.151817059632902,-0.0968863474648623,-0.0968863474648623
"Fibroblast / stellate -> Monocyte-derived macrophage / DC-like","MK",4,0.23828073599848,0.335007540814331,0.0967268048158515,0.214641474296261
"Activated neutrophil -> Endothelial","PECAM1",1,0.481935332964609,0.57814967355745,0.0962143405928403,0.0962143405928403
"Monocyte-derived macrophage / DC-like -> NK cell","CXCL",6,0.215066668137845,0.119020968811485,-0.0960456993263604,0.0388868046744009
"Inflammatory neutrophil -> Endothelial","TNF",1,0.210512173663759,0.114690914206462,-0.0958212594572964,-0.0958212594572964
"Monocyte-derived macrophage / DC-like -> NK cell","CLEC",12,0.330832614656934,0.235886817925279,-0.0949457967316544,0.0107764715303367
"Monocyte-derived macrophage / DC-like -> T cell","CypA",1,0.843144968373321,0.748373031708164,-0.0947719366651568,-0.0947719366651568
"Kupffer cell -> Inflammatory neutrophil","FN1",1,0.168084940123647,0.0733949500820591,-0.0946899900415878,-0.0946899900415878
"Kupffer cell -> Endothelial","ESAM",1,0.150329513605548,0.0592160704207356,-0.0911134431848123,-0.0911134431848123
"Kupffer cell -> Inflammatory neutrophil","GALECTIN",5,0.778911995551506,0.869901410603067,0.0909894150515613,0.195765157464797
"Fibroblast / stellate -> Kupffer cell","CypA",1,1.84383644408452,1.75316118663842,-0.0906752574460952,-0.0906752574460952
"Neutrophil -> Endothelial","CD52",1,0.0526721556185352,0.143288118407584,0.0906159627890485,0.0906159627890485
"Kupffer cell -> Inflammatory neutrophil","APP",3,1.11922081376636,1.20957472051807,0.0903539067517086,0.356412028174548
"Kupffer cell -> Neutrophil","CypA",1,0.448291362359206,0.537211112824492,0.0889197504652854,0.0889197504652854
"Activated neutrophil -> Endothelial","LIGHT",1,0.121933596033127,0.0341512633563491,-0.087782332676778,-0.087782332676778
"Kupffer cell -> Endothelial","JAM",3,0.13844199614926,0.050869521174507,-0.0875724749747525,-0.0457148627038811
"Activated neutrophil -> Endothelial","CXCL",5,0.0567346292727527,0.1388451322603,0.0821105029875472,0.315176171915647
"Fibroblast / stellate -> Kupffer cell","ADGRE",4,0.437369551613287,0.356362110524008,-0.0810074410892786,0.0937639455373317
"Kupffer cell -> Neutrophil","PLAU",1,0.0926064467473319,0.011746666781973,-0.0808597799653589,-0.0808597799653589
"Fibroblast / stellate -> Endothelial","ApoA",1,0.250203958937214,0.170010725500209,-0.0801932334370046,-0.0801932334370046
"Kupffer cell -> Inflammatory neutrophil","VTN",1,0.137478416975275,0.0580293193354858,-0.0794490976397892,-0.0794490976397892
"Fibroblast / stellate -> Kupffer cell","CCL",11,0.157033888628507,0.0783753397993604,-0.0786585488291468,0.0816922859352761
"Fibroblast / stellate -> Endothelial","ADGRE",4,0.181513103951336,0.103672312555106,-0.0778407913962297,0.00878869121999669
"Activated neutrophil -> Endothelial","PECAM2",1,0.375291748319105,0.298512954484673,-0.0767787938344311,-0.0767787938344311
"Inflammatory neutrophil -> Endothelial","CD52",1,0.0529499694573326,0.129242724045577,0.0762927545882441,0.0762927545882441
"Kupffer cell -> Neutrophil","GALECTIN",5,0.548077603482894,0.624149802138023,0.0760721986551297,0.119703900035852
"Neutrophil -> Endothelial","TNF",1,0.186562344152652,0.110614117717575,-0.0759482264350769,-0.0759482264350769
"Kupffer cell -> Endothelial","GAS",2,0.120525857288147,0.0450792679220835,-0.0754465893660638,-0.0068645563336978
"Monocyte-derived macrophage / DC-like -> T cell","ApoA",1,0.110984708763443,0.0356663352225969,-0.0753183735408456,-0.0753183735408456
"Kupffer cell -> Endothelial","ADGRG",1,0.32466999847326,0.399103870950084,0.0744338724768245,0.0744338724768245
"Inflammatory neutrophil -> Endothelial","CXCL",5,0.0832388214812151,0.156986182366502,0.0737473608852869,0.317219711762379
