"package","version","libpath"
"Seurat","5.5.0","/Users/wrccc/miniforge3/envs/singlecell/lib/R/library"
"SeuratObject","5.4.0","/Users/wrccc/miniforge3/envs/singlecell/lib/R/library"
"harmony","2.0.2","/Users/wrccc/miniforge3/envs/singlecell/lib/R/library"
"presto","1.0.0","/Users/wrccc/miniforge3/envs/singlecell/lib/R/library"
"edgeR","4.0.16","/Users/wrccc/miniforge3/envs/singlecell/lib/R/library"
"CellChat","2.2.0.9001","/Users/wrccc/miniforge3/envs/singlecell/lib/R/library"
"NMF","0.28","/Users/wrccc/miniforge3/envs/singlecell/lib/R/library"
"ComplexHeatmap","2.18.0","/Users/wrccc/miniforge3/envs/singlecell/lib/R/library"
"circlize","0.4.18","/Users/wrccc/miniforge3/envs/singlecell/lib/R/library"
"ggplot2","4.0.3","/Users/wrccc/miniforge3/envs/singlecell/lib/R/library"
"patchwork","1.3.2","/Users/wrccc/miniforge3/envs/singlecell/lib/R/library"
"cowplot","1.2.0","/Users/wrccc/miniforge3/envs/singlecell/lib/R/library"
"dplyr","1.2.1","/Users/wrccc/miniforge3/envs/singlecell/lib/R/library"
"tidyr","1.3.2","/Users/wrccc/miniforge3/envs/singlecell/lib/R/library"
"readr","2.2.0","/Users/wrccc/miniforge3/envs/singlecell/lib/R/library"
"tibble","3.3.1","/Users/wrccc/miniforge3/envs/singlecell/lib/R/library"
"Matrix","1.7.5","/Users/wrccc/miniforge3/envs/singlecell/lib/R/library"
"RColorBrewer","1.1.3","/Users/wrccc/miniforge3/envs/singlecell/lib/R/library"
"ggrepel","0.9.8","/Users/wrccc/miniforge3/envs/singlecell/lib/R/library"
"pheatmap","1.0.13","/Users/wrccc/miniforge3/envs/singlecell/lib/R/library"
"viridis","0.6.5","/Users/wrccc/miniforge3/envs/singlecell/lib/R/library"
"future","1.70.0","/Users/wrccc/miniforge3/envs/singlecell/lib/R/library"
"future.apply","1.20.2","/Users/wrccc/miniforge3/envs/singlecell/lib/R/library"
"remotes","2.5.0","/Users/wrccc/miniforge3/envs/singlecell/lib/R/library"
"BiocManager","1.30.27","/Users/wrccc/miniforge3/envs/singlecell/lib/R/library"
"rstatix","0.7.3","/Users/wrccc/miniforge3/envs/singlecell/lib/R/library"
"ggpubr","0.6.3","/Users/wrccc/miniforge3/envs/singlecell/lib/R/library"
"svglite","2.2.2","/Users/wrccc/miniforge3/envs/singlecell/lib/R/library"
"textshaping","1.0.5","/Users/wrccc/miniforge3/envs/singlecell/lib/R/library"
